table,name,valueType,unit,repeatable,label
outcome,pets_preg,integer,,0,"Furry pet (dogs, cats, rodents) ownership in child's household during pregnancy."
outcome,age_years,integer,numeric,1,Age of the child in years
outcome,age_months,integer,numeric,1,Age of the child in months
outcome,heightmes_,integer,numeric,1,measured vs. reported child's height
outcome,weightmes_,integer,numeric,1,measured vs. reported child's weight
outcome,headcirc_,decimal,cm,1,head circumference
outcome,headcircage_,decimal,days,1,age at head circumference measurement
outcome,headcircmes_,integer,numeric,1,measured vs. reported head circumference
outcome,waistcirc_,decimal,cm,1,waist circumference
outcome,waistcircage_,decimal,days,1,age at waist circumference measurement
outcome,waistcircmes_,integer,numeric,1,measured vs. reported waist circumference
outcome,hipcirc_,decimal,cm,1,hip circumference
outcome,hipcircage_,decimal,days,1,age at hip circumference measurement
outcome,hipcircmes_,integer,numeric,1,measured vs. reported hip circumference
outcome,armcirc_,decimal,cm,1,arm circumference
outcome,armcircage_,decimal,days,1,age at arm circumference measurement
outcome,armcircmes_,integer,numeric,1,measured vs. reported arm circumference
outcome,dominant_armc_,integer,numeric,1,arm circumference  measured in dominant or non-dominant
outcome,dxafm_,decimal,grams,1,whole-body DXA fat mass
outcome,dxafmage_,decimal,days,1,age at DXA fat mass measurement
outcome,dxafmmes_,integer,numeric,1,device used to measure DXA fat mass
outcome,dxalm_,decimal,grams,1,whole-body DXA lean mass
outcome,dxalmage_,decimal,days,1,age at DXA lean mass measurement
outcome,dxalmmes_,integer,numeric,1,device used to measure DXA lean mass
outcome,bio_,decimal,%,1,body fat from bioimpedance
outcome,bioage_,decimal,days,1,age at bioimpedance measurement
outcome,biomes_,integer,numeric,1,device used to measure bioimpedance
outcome,bicepsf_,decimal,mm,1,bicep skinfold
outcome,bicepsfage_,decimal,days,1,age at biceps skinfold measurement
outcome,bicepsfmes_,integer,numeric,1,measured vs. reported bicep skinfold
outcome,subscapsf_,decimal,mm,1,subscapular skinfold
outcome,subscapsfage_,decimal,days,1,age at subscapular skinfold measurement
outcome,subscapsfmes_,integer,numeric,1,measured vs. reported subscapular skinfold
outcome,tricepsf_,decimal,mm,1,tricep skinfold
outcome,tricepsfage_,decimal,days,1,age at triceps skinfold measurement
outcome,tricepsfmes_,integer,numeric,1,measured vs. reported tricep skinfold
outcome,suprasf_,decimal,mm,1,suprailiac skinfold
outcome,suprasfage_,decimal,days,1,age at suprailiac skinfold measurement
outcome,suprasfmes_,integer,numeric,1,measured vs. reported suprailiac skinfold
outcome,armlength_,decimal,cm,1,arm length
outcome,armlengthage_,decimal,days,1,age at arm length measurement
outcome,armlengthmes_,integer,numeric,1,measured vs. reported arm length
outcome,sittinght_,decimal,cm,1,sitting height
outcome,sittinghtage_,decimal,days,1,age at sitting height measurement
outcome,sittinghtmes_,integer,numeric,1,measured vs. reported sitting height
outcome,glucose_,decimal,mmol/l,1,glucose
outcome,glucoseage_,decimal,days,1,age at glucose measurement
outcome,glucosemes_,integer,numeric,1,fasting or nonfasting when glucose measured
outcome,haem_,decimal,mmol/l,1,haemoglobin
outcome,haemage_,decimal,days,1,age at haemoglobin measurement
outcome,haemmes_,integer,numeric,1,fasting or nonfasting when haemoglobin measured
outcome,hba1c_,decimal,%,1,HbA1c
outcome,hba1cage_,decimal,days,1,age at HbA1c measurement
outcome,hba1cmes_,integer,numeric,1,fasting or nonfasting when HbA1c measured
outcome,insulin_,decimal,mU/L,1,insulin
outcome,insulinage_,decimal,days,1,age at insulin measurement
outcome,insulinmes_,integer,numeric,1,fasting or nonfasting when insulin measured
outcome,crp_,decimal,mmol/l,1,CRP
outcome,crpage_,decimal,days,1,age at CRP measurement
outcome,crpmes_,integer,numeric,1,fasting or nonfasting when CRP measured
outcome,il6_,decimal,mmol/l,1,IL6
outcome,il6age_,decimal,days,1,age at Il6 measurement
outcome,il6mes_,integer,numeric,1,fasting or nonfasting when IL6 measured
outcome,adipo_,decimal,mmol/l,1,adiponectin
outcome,adipoage_,decimal,days,1,age at adiponectin measurement
outcome,adipomes_,integer,numeric,1,fasting or nonfasting when adiponectin measured
outcome,leptin_,decimal,mmol/l,1,leptin
outcome,leptinage_,decimal,days,1,age at leptin measurement
outcome,leptinmes_,integer,numeric,1,fasting or nonfasting when leptin measured
outcome,chol_,decimal,mmol/l,1,total cholesterol
outcome,cholage_,decimal,days,1,age at total cholesterol measurement
outcome,cholmes_,integer,numeric,1,fasting or nonfasting when total cholesterol measured
outcome,hdlc_,decimal,mmol/l,1,hdl cholesterol
outcome,hdlcage_,decimal,days,1,age at hdl cholesterol measurement
outcome,hdlcmes_,integer,numeric,1,fasting or nonfasting when HDLc measured
outcome,ldlc_,decimal,mmol/l,1,ldl cholesterol
outcome,ldlcage_,decimal,days,1,age at ldl cholesterol measurement
outcome,ldlcmes_,integer,numeric,1,fasting or nonfasting when LDLc measured
outcome,vldlc_,decimal,mmol/l,1,vldl cholesterol
outcome,vldlcage_,decimal,days,1,age at vldl cholesterol measurement
outcome,vldlcmes_,integer,numeric,1,fasting or nonfasting when vLDLc measured
outcome,triglycerides_,decimal,mmol/l,1,triglycerides
outcome,triglyceridesage_,decimal,days,1,age at triglycerides measurement
outcome,triglyceridesmes_,integer,numeric,1,fasting or nonfasting when triglycerides measured
outcome,sbp_,decimal,mmhg,1,systolic blood pressure 1st measurement
outcome,dbp_,decimal,mmhg,1,diastolic blood pressure 1st measurement
outcome,sbpav_,decimal,mmhg,1,systolic blood pressure average
outcome,dbpav_,decimal,mmhg,1,diastolic blood pressure average
outcome,bpage_,decimal,days,1,age at peripheral blood pressure measurement
outcome,pulse_,decimal,bpm,1,pulse rate
outcome,pulseage_,decimal,days,1,age at pulse rate measurement
outcome,pulsemessit_,integer,numeric,1,sitting or standing when measuring pulse rate
outcome,csbp_,decimal,mmhg,1,central (i.e. aortic) systolic blood pressure
outcome,cdbp_,decimal,mmhg,1,central (i.e. aortic) diastolic blood pressure
outcome,cbpage_,decimal,days,1,age at central (i.e. aortic) blood pressure measurement
outcome,cbpsit_,integer,numeric,1,sitting or standing when measuring central blood pressure
outcome,crpwv_,decimal,m/s,1,carotid-radial pulse wave velocity
outcome,crpwvage_,decimal,days,1,age at carotid-radial pulse wave velocity measurement
outcome,cfpwv_,decimal,m/s,1,carotid-femoral pulse wave velocity
outcome,cfpwvage_,decimal,days,1,age at carotid-femoral pulse wave velocity measurement
outcome,cimt_,decimal,mm,1,carotid intima-media thickness
outcome,cimtage_,decimal,days,1,age at carotid intima-media thickness measurement
outcome,cimtmes_,integer,numeric,1,device used to measure carotid intima-media thickness
outcome,whe_,integer,numeric,1,wheezing
outcome,asthma_,integer,numeric,1,asthma diagnosis
outcome,asthma_current_MeDALL_,integer,numeric,1,Current asthma (MeDALL)
outcome,asthma_current_ISAAC_,integer,numeric,1,Current asthma  (ISAAC)
outcome,asthma_med_,integer,numeric,1,asthma medication use 
outcome,asthma_med_spec_,integer,numeric,1,"asthma medication use, type specified"
outcome,URTI_,integer,numeric,1,"upper respiratory tract infection (ear infection, throat infection, laryngitis, croup, whooping cough or equivalent) "
outcome,LRTI_,integer,numeric,1,"lower respiratory tract infection (bronchiolitis, bronchitis, pneumonia, chest infection, or equivalent) "
outcome,FEV1_abs_,decimal,L,1,FEV (L) 
outcome,FVC_abs_,decimal,L,1,FVC (L) 
outcome,FEF25_abs_,decimal,L/s,1,FEF25 (L/s) 
outcome,FEF50_abs_,decimal,L/s,1,FEF50 (L/s) 
outcome,FEF75_abs_,decimal,L/s,1,FEF75 (L/s)
outcome,FEV1_z_,decimal,z-score,1,FEV1 (z-score according to GLI) 
outcome,FVC_z_,decimal,z-score,1,FVC (z-score according to GLI) 
outcome,FEV1FVC_z_,decimal,z-score,1,FEV1FVC (z-score according to GLI) 
outcome,FEF75_z_,decimal,z-score,1,FEF75 (z-score according to GLI)
outcome,repro_,integer,numeric,1,reproducibility of the spirometry 
outcome,BHR_,integer,numeric,1,Bronchial hyperresponsiveness (measured by metacholine challenge test) 
outcome,FeNO_,decimal,sympercent change,1,Fractional exhaled nitric oxide (FeNO)
outcome,food_all_,integer,numeric,1,food allergy
outcome,inh_all_,integer,numeric,1,inhalant allergy 
outcome,all_,integer,numeric,1,"allergy, type of allergen unspecified "
outcome,food_all_sens_SPT_,integer,numeric,1,"food allergic sensitization, measured by skin prick test "
outcome,inh_all_sens_SPT_,integer,numeric,1,"inhalant allergic sensitization, measured by skin prick test "
outcome,inh_all_sens_IgE_HDM_,decimal,kUa/L,1,"inhalant allergic senzitization to house dust mite, measured by IgE "
outcome,inh_all_sens_IgE_CAT_,decimal,kUa/L,1,"inhalant allergic senzitization to cat, measured by IgE "
outcome,inh_all_sens_IgE_RYE_,decimal,kUa/L,1,"inhalant allergic senzitization to rye, measured by IgE "
outcome,inh_all_sens_IgE_MOULD_,decimal,kUa/L,1,"inhalant allergic senzitization to mould, measured by IgE "
outcome,eczema_,integer,numeric,1,eczema 
outcome,rash_,integer,numeric,1,itchy rash 
outcome,rash_loc_,integer,numeric,1,location of itchy rash typical for eczema 
outcome,int_raw_,decimal,numeric,1,"internalizing problems, total raw score"
outcome,int_age_,decimal,years,1,exact age of the child (in years) when internalizing problems were recorded
outcome,int_instr_,integer,numeric,1,Cohort-specific instrument used to measure the internalizing problems
outcome,int_eval_,integer,numeric,1,who the test for measuring internalizing problems was administered/answered by
outcome,int_pro_,decimal,numeric,1,total internalizing problems score after prorating internalizing problems total raw score
outcome,int_avg_,decimal,numeric,1,average of available items comprising the total raw score of internalizing problems
outcome,int_pc_,decimal,numeric,1,"internalizing problems, percentiles"
outcome,ext_raw_,decimal,numeric,1,"externalizing problems, total raw score"
outcome,ext_age_,decimal,years,1,exact age of the child (in years) when externalizing problems were recorded
outcome,ext_instr_,integer,numeric,1,Cohort-specific instrument used to measure the externalizing problems
outcome,ext_eval_,integer,numeric,1,who the test for measuring externalizing problems was administered/answered by
outcome,ext_pro_,decimal,numeric,1,total externalizing problems score after prorating externalizing problems total raw score
outcome,ext_avg_,decimal,numeric,1,average of available items comprising the total raw score of externalizing problems
outcome,ext_pc_,decimal,numeric,1,"externalizing problems, percentiles"
outcome,adhd_raw_,decimal,numeric,1,"ADHD, total raw score"
outcome,adhd_age_,decimal,years,1,exact age of the child (in years) when ADHD were recorded
outcome,adhd_instr_,integer,numeric,1,Cohort-specific instrument used to measure the ADHD
outcome,adhd_eval_,integer,numeric,1,who the test for measuring ADHD was administered/answered by
outcome,adhd_pro_,decimal,numeric,1,total ADHD score after prorating ADHD total raw score
outcome,adhd_avg_,decimal,numeric,1,average of available items comprising the total raw score of ADHD
outcome,adhd_pc_,decimal,numeric,1,"ADHD, percentiles"
outcome,adhdR_,integer,numeric,1,ADHD diagnosis
outcome,adhdR_age_,decimal,years,1,exact age of the child (in years) at onset for ADHD diagnosis
outcome,adhdR_eval_,integer,numeric,1,how was the medical diagnosis reported for ADHD
outcome,asd_raw_,decimal,numeric,1,"ASD, total raw score"
outcome,asd_age_,decimal,years,1,exact age of the child (in years) when ASD were recorded
outcome,asd_instr_,integer,numeric,1,Cohort-specific instrument used to measure the ASD
outcome,asd_eval_,integer,numeric,1,who the test for measuring ASD was administered/answered by
outcome,asd_pro_,decimal,numeric,1,total ASD score after prorating ASD total raw score
outcome,asd_avg_,decimal,numeric,1,average of available items comprising the total raw score of ASD
outcome,asd_pc_,decimal,numeric,1,"ASD, percentiles"
outcome,asdR_,integer,numeric,1,ASD diagnosis
outcome,asdR_age_,decimal,years,1,exact age of the child (in years) at onset for ASD diagnosis
outcome,asdR_eval_,integer,numeric,1,how was the medical diagnosis reported for ASD
outcome,gm_raw_,decimal,numeric,1,"gross motor, total raw score"
outcome,gm_age_,decimal,years,1,exact age of the child (in years) when gross motor were recorded
outcome,gm_instr_,integer,numeric,1,Cohort-specific instrument used to measure the gross motor
outcome,gm_eval_,integer,numeric,1,who the test for measuring gross motor was administered/answered by
outcome,gm_pro_,decimal,numeric,1,total gross motor score after prorating gross motor total raw score
outcome,gm_avg_,decimal,numeric,1,average of available items comprising the total raw score of gross motor
outcome,gm_pc_,decimal,numeric,1,"gross motor, percentiles"
outcome,gm_std_,decimal,numeric,1,"gross motor, standardized score"
outcome,fm_raw_,decimal,numeric,1,"fine motor, total raw score"
outcome,fm_age_,decimal,years,1,exact age of the child (in years) when fine motor were recorded
outcome,fm_instr_,integer,numeric,1,Cohort-specific instrument used to measure the fine motor
outcome,fm_eval_,integer,numeric,1,who the test for measuring fine motor was administered/answered by
outcome,fm_pro_,decimal,numeric,1,total fine motor score after prorating fine motor total raw score
outcome,fm_avg_,decimal,numeric,1,average of available items comprising the total raw score of fine motor
outcome,fm_pc_,decimal,numeric,1,"fine motor, percentiles"
outcome,fm_std_,decimal,numeric,1,"fine motor, standardized score"
outcome,nvi_raw_,decimal,numeric,1,"non-verbal intelligence, total raw score"
outcome,nvi_age_,decimal,years,1,exact age of the child (in years) when non-verbal intelligence were recorded
outcome,nvi_instr_,integer,numeric,1,Cohort-specific instrument used to measure the non-verbal intelligence
outcome,nvi_eval_,integer,numeric,1,who the test for measuring non-verbal intelligence was administered/answered by
outcome,nvi_pro_,decimal,numeric,1,total non-verbal intelligence score after prorating non-verbal intelligence total raw score
outcome,nvi_avg_,decimal,numeric,1,average of available items comprising the total raw score of non-verbal intelligence
outcome,nvi_pc_,decimal,numeric,1,"non-verbal intelligence, percentiles"
outcome,nvi_std_,decimal,numeric,1,"non-verbal intelligence, standardized score"
outcome,wm_raw_,decimal,numeric,1,"working memory, total raw score"
outcome,wm_age_,decimal,years,1,exact age of the child (in years) when working memory were recorded
outcome,wm_instr_,integer,numeric,1,Cohort-specific instrument used to measure the working memory
outcome,wm_eval_,integer,numeric,1,who the test for measuring working memory was administered/answered by
outcome,wm_pro_,decimal,numeric,1,total working memory score after prorating working memory total raw score
outcome,wm_avg_,decimal,numeric,1,average of available items comprising the total raw score of working memory
outcome,wm_pc_,decimal,numeric,1,"working memory, percentiles"
outcome,wm_std_,decimal,numeric,1,"working memory, standardized score"
outcome,lan_raw_,decimal,numeric,1,"language, total raw score"
outcome,lan_age_,decimal,years,1,exact age of the child (in years) when language were recorded
outcome,lan_instr_,integer,numeric,1,Cohort-specific instrument used to measure the language
outcome,lan_eval_,integer,numeric,1,who the test for measuring language was administered/answered by
outcome,lan_pro_,decimal,numeric,1,total language score after prorating language total raw score
outcome,lan_avg_,decimal,numeric,1,average of available items comprising the total raw score of language
outcome,lan_pc_,decimal,numeric,1,"language, percentiles"
outcome,lan_std_,decimal,numeric,1,"language, standardized score"
outcome,food_all_sens_SPT_COWMILK_,integer,numeric,1,"food allergic sensitization to cow milk, measured by skin prick test "
outcome,food_all_sens_SPT_EGG_,integer,numeric,1,"food allergic sensitization to chicken egg, measured by skin prick test "
outcome,food_all_sens_SPT_WHEAT_,integer,numeric,1,"food allergic sensitization to wheat, measured by skin prick test"
outcome,food_all_sens_SPT_PNT_,integer,numeric,1,"food allergic sensitization to peanut, measured by skin prick test"
outcome,food_all_sens_SPT_NUT_mix_,integer,numeric,1,"food allergic sensitization to nut mix, measured by skin prick test"
outcome,food_all_sens_SPT_NUT_wal_,integer,numeric,1,"food allergic sensitization to walnut, measured by skin prick test"
outcome,food_all_sens_SPT_NUT_cas_,integer,numeric,1,"food allergic sensitization to cashew nut, measured by skin prick test"
outcome,food_all_sens_SPT_NUT_haz_,integer,numeric,1,"food allergic sensitization to hazelnut, measured by skin prick test"
outcome,food_all_sens_SPT_SES_,integer,numeric,1,"food allergic sensitization to sesame, measured by skin prick test"
outcome,food_all_sens_SPT_FISH_mix_,integer,numeric,1,"food allergic sensitization to fish mix, measured by skin prick test"
outcome,food_all_sens_SPT_FISH_cod_,integer,numeric,1,"food allergic sensitization to cod fish, measured by skin prick test"
outcome,food_all_sens_SPT_SHELL_mix_,integer,numeric,1,"food allergic sensitization to shell fish mix, measured by skin prick test "
outcome,food_all_sens_SPT_FRUIT_kiw_,integer,numeric,1,"food allergic sensitization to kiwi fruit, measured by skin prick test "
outcome,food_all_sens_SPT_FRUIT_pea_,integer,numeric,1,"food allergic sensitization to peach fruit, measured by skin prick test "
outcome,inh_all_sens_SPT_GRASS_mix_,integer,numeric,1,"inhalant allergic sensitization to grass mix, measured by skin prick test"
outcome,inh_all_sens_SPT_GRASS_tim_,integer,numeric,1,"inhalant allergic sensitization to timothy grass, measured by skin prick test"
outcome,inh_all_sens_SPT_CAT_,integer,numeric,1,"inhalant allergic sensitization to cat, measured by skin prick test"
outcome,inh_all_sens_SPT_DOG_,integer,numeric,1,"inhalant allergic sensitization to dog, measured by skin prick test"
outcome,inh_all_sens_SPT_HDM_mix_,integer,numeric,1,"inhalant allergic sensitization to house dust mite mix, measured by skin prick test"
outcome,inh_all_sens_SPT_HDM_derf_,integer,numeric,1,"inhalant allergic sensitization to house dust mite (dermatophagoides farinae), measured by skin prick test"
outcome,inh_all_sens_SPT_HDM_derp_,integer,numeric,1,"inhalant allergic sensitization to house dust mite (dermatophagoides pteronyssinus), measured by skin prick test"
outcome,inh_all_sens_SPT_TREE_mix_,integer,numeric,1,"inhalant allergic sensitization to tree polen mix, measured by skin prick test"
outcome,inh_all_sens_SPT_TREE_birch_,integer,numeric,1,"inhalant allergic sensitization to birch, measured by skin prick test"
outcome,matsmo_score_,integer,decimal,1,Calculated smoking score using DNAsmokeR
outcome,matsmo_array_,integer,numeric,1,Type of DNA methylation array used to create smoking score
outcome,matsmo_age_at_dna_methyl_,integer,decimal,1,Age of child when DNA sample was collected in years
outcome,matsmo_tissue_,integer,numeric,1,Tissue source of DNA methylation sample
outcome,matsmo_format_,integer,numeric,1,Is data raw or normalised (specify normalisation method used)
outcome,inh_all_sens_IgE_GRASS_,decimal,kUa/L,1,"inhalant allergic senzitization to grass, measured by IgE"
outcome,age_weeks,integer,numeric,1,Age of the child in weeks
outcome,m_sbp_,decimal,mmhg,1,Mother's systolic blood pressure during pregnancy in completed weeks of gestation
outcome,m_dbp_,decimal,mmhg,1,Mother's diastolic blood pressure during pregnancy in completed weeks of gestation
outcome,m_crp_,decimal,mmol/l,1,Mother's CRP during pregnancy in completed weeks of gestation
outcome,m_glucose_,decimal,mmol/l,1,Mother's glucose during pregnancy in completed weeks of gestation
outcome,m_haem_,decimal,mmol/l,1,Mother's haemoglobin during pregnancy in completed weeks of gestation
outcome,m_hba1c_,decimal,%,1,Mother's HbA1c during pregnancy in completed weeks of gestation
outcome,m_insulin_,decimal,mmol/l,1,Mother's insulin during pregnancy in completed weeks of gestation
outcome,m_hdlc_,decimal,mmol/l,1,Mother's HDLc during pregnancy in completed weeks of gestation
outcome,m_ldlc_,decimal,mmol/l,1,Mother's LDLc during pregnancy in completed weeks of gestation
outcome,m_chol_,decimal,mmol/l,1,Mother's total cholesterol during pregnancy in completed weeks of gestation
outcome,m_triglycerides_,decimal,mmol/l,1,mother's triglycerides during pregnancy in completed weeks of gestation
outcome,f_sbp_,decimal,mmhg,1,Father's systolic blood pressure during pregnancy in completed weeks of gestation
outcome,f_dbp_,decimal,mmhg,1,Father's diastolic blood pressure during pregnancy in completed weeks of gestation
